"","name","handedness","height","avg","HR","summary"
"1","Denny Lemaster","R",73,0.13,4,0
"2","Joe Nolan","L",71,0.263,27,0
"3","Denny Doyle","L",69,0.25,16,0
"4","Jose Cardenal","R",70,0.275,138,0
"5","Mike Ryan","R",74,0.193,28,0
"6","Fritz Peterson","B",72,0.159,2,0
"7","Dick Bertell","R",72,0.25,10,0
"8","Rod Kanehl","R",73,0.241,6,0
"9","Juan Bonilla","R",69,0.256,7,0
"10","Frank Tepedino","L",71,0.241,6,0
"11","Rick Wise","R",73,0.195,15,0
"12","Darrell Evans","L",74,0.248,414,0
"13","Buck Martinez","R",70,0.225,58,0
"14","John Wockenfuss","R",72,0.262,86,0
"15","Tommy McCraw","L",72,0.246,75,0
"16","Lee Lacy","R",73,0.286,91,0
"17","Pete Rose","B",71,0.303,160,0
"18","Danny Walton","R",72,0.223,28,0
"19","Bobby Cox","R",71,0.225,9,0
"20","Brad Wellman","R",72,0.231,6,0
"21","Jeff Newman","R",74,0.224,63,0
"22","Pedro Gonzalez","R",72,0.244,8,0
"23","Tommie Reynolds","R",74,0.226,12,0
"24","Gene Clines","R",69,0.277,5,0
"25","Jim Hickman","R",75,0.252,159,0
"26","Jack Billingham","R",76,0.111,0,0
"27","Jerry Buchek","R",71,0.22,22,0
"28","Ivan DeJesus","R",71,0.254,21,0
"29","Gary Nolan","R",74,0.138,1,0
"30","Fred Whitfield","L",73,0.253,108,0
"31","Larry Dierker","R",76,0.136,4,0
"32","Dave Skaggs","R",74,0.241,3,0
"33","Dick Ruthven","R",75,0.183,1,0
"34","Dave Kingman","R",78,0.236,442,0
"35","Eric Soderholm","R",71,0.264,102,0
"36","Ed Brinkman","R",72,0.224,60,0
"37","Wayne Garrett","L",71,0.239,61,0
"38","Tony Muser","L",74,0.259,7,0
"39","Ted Ford","R",70,0.219,17,0
"40","Jim Lyttle","L",72,0.248,9,0
"41","Scot Thompson","L",75,0.262,5,0
"42","Gene Locklear","L",70,0.274,9,0
"43","Bo Diaz","R",71,0.255,87,0
"44","Bump Wills","B",69,0.266,36,0
"45","Pat Putnam","L",72,0.255,63,0
"46","Kurt Bevacqua","R",72,0.236,27,0
"47","Syd O'Brien","R",73,0.23,24,0
"48","Chris Chambliss","L",73,0.279,185,0
"49","Tom Satriano","L",73,0.225,21,0
"50","Jeffrey Leonard","R",74,0.266,144,0
